,model_name,fold,score,dataset
0,Perceptron,1,0.6,Liver Disorder
1,ELM,1,0.6083333333333334,Liver Disorder
2,RBF,1,0.5333333333333334,Liver Disorder
3,ELMHebbian,1,0.5583333333333335,Liver Disorder
4,Perceptron,2,0.7250000000000001,Liver Disorder
5,ELM,2,0.675,Liver Disorder
6,RBF,2,0.42499999999999993,Liver Disorder
7,ELMHebbian,2,0.6916666666666667,Liver Disorder
8,Perceptron,3,0.55,Liver Disorder
9,ELM,3,0.7749999999999999,Liver Disorder
10,RBF,3,0.5333333333333333,Liver Disorder
11,ELMHebbian,3,0.6083333333333334,Liver Disorder
12,Perceptron,4,0.5416666666666666,Liver Disorder
13,ELM,4,0.65,Liver Disorder
14,RBF,4,0.5333333333333333,Liver Disorder
15,ELMHebbian,4,0.5166666666666667,Liver Disorder
16,Perceptron,5,0.5,Liver Disorder
17,ELM,5,0.55,Liver Disorder
18,RBF,5,0.5333333333333333,Liver Disorder
19,ELMHebbian,5,0.4833333333333333,Liver Disorder
20,Perceptron,6,0.5,Liver Disorder
21,ELM,6,0.7392857142857143,Liver Disorder
22,RBF,6,0.5928571428571429,Liver Disorder
23,ELMHebbian,6,0.5214285714285714,Liver Disorder
24,Perceptron,7,0.525,Liver Disorder
25,ELM,7,0.7,Liver Disorder
26,RBF,7,0.5428571428571429,Liver Disorder
27,ELMHebbian,7,0.6571428571428573,Liver Disorder
28,Perceptron,8,0.5,Liver Disorder
29,ELM,8,0.7571428571428572,Liver Disorder
30,RBF,8,0.49642857142857144,Liver Disorder
31,ELMHebbian,8,0.7071428571428571,Liver Disorder
32,Perceptron,9,0.5714285714285714,Liver Disorder
33,ELM,9,0.4928571428571428,Liver Disorder
34,RBF,9,0.5,Liver Disorder
35,ELMHebbian,9,0.5214285714285714,Liver Disorder
36,Perceptron,10,0.5,Liver Disorder
37,ELM,10,0.8178571428571428,Liver Disorder
38,RBF,10,0.45,Liver Disorder
39,ELMHebbian,10,0.5535714285714286,Liver Disorder
40,Perceptron,1,0.9142857142857144,Breast Cancer
41,ELM,1,0.9487012987012987,Breast Cancer
42,RBF,1,0.5227272727272727,Breast Cancer
43,ELMHebbian,1,0.8318181818181819,Breast Cancer
44,Perceptron,2,0.9545454545454545,Breast Cancer
45,ELM,2,0.9318181818181819,Breast Cancer
46,RBF,2,0.5,Breast Cancer
47,ELMHebbian,2,0.814935064935065,Breast Cancer
48,Perceptron,3,0.9623015873015873,Breast Cancer
49,ELM,3,0.9523809523809523,Breast Cancer
50,RBF,3,0.5238095238095238,Breast Cancer
51,ELMHebbian,3,0.8115079365079365,Breast Cancer
52,Perceptron,4,0.9623015873015873,Breast Cancer
53,ELM,4,0.9761904761904762,Breast Cancer
54,RBF,4,0.5,Breast Cancer
55,ELMHebbian,4,0.8591269841269842,Breast Cancer
56,Perceptron,5,0.9761904761904762,Breast Cancer
57,ELM,5,0.9523809523809523,Breast Cancer
58,RBF,5,0.5,Breast Cancer
59,ELMHebbian,5,0.9484126984126983,Breast Cancer
60,Perceptron,6,0.9761904761904762,Breast Cancer
61,ELM,6,0.9523809523809523,Breast Cancer
62,RBF,6,0.5,Breast Cancer
63,ELMHebbian,6,0.8690476190476191,Breast Cancer
64,Perceptron,7,0.9384920634920635,Breast Cancer
65,ELM,7,0.9047619047619048,Breast Cancer
66,RBF,7,0.5238095238095238,Breast Cancer
67,ELMHebbian,7,0.8869047619047619,Breast Cancer
68,Perceptron,8,0.8888888888888888,Breast Cancer
69,ELM,8,1.0,Breast Cancer
70,RBF,8,0.5238095238095238,Breast Cancer
71,ELMHebbian,8,0.9623015873015873,Breast Cancer
72,Perceptron,9,1.0,Breast Cancer
73,ELM,9,0.9623015873015873,Breast Cancer
74,RBF,9,0.5238095238095238,Breast Cancer
75,ELMHebbian,9,0.9246031746031746,Breast Cancer
76,Perceptron,10,0.9285714285714286,Breast Cancer
77,ELM,10,0.9000000000000001,Breast Cancer
78,RBF,10,0.5,Breast Cancer
79,ELMHebbian,10,0.9571428571428571,Breast Cancer
80,Perceptron,1,0.7166666666666668,Statlog (Heart)
81,ELM,1,0.7500000000000002,Statlog (Heart)
82,RBF,1,0.55,Statlog (Heart)
83,ELMHebbian,1,0.8166666666666668,Statlog (Heart)
84,Perceptron,2,0.7666666666666666,Statlog (Heart)
85,ELM,2,0.7999999999999999,Statlog (Heart)
86,RBF,2,0.5,Statlog (Heart)
87,ELMHebbian,2,0.7666666666666666,Statlog (Heart)
88,Perceptron,3,0.8416666666666667,Statlog (Heart)
89,ELM,3,0.8416666666666667,Statlog (Heart)
