,model_name,fold,score,dataset
0,Perceptron,1,0.6833333333333335,Liver Disorder
1,ELM,1,0.6,Liver Disorder
2,RBF,1,0.5166666666666666,Liver Disorder
3,ELMHebbian,1,0.6916666666666667,Liver Disorder
4,Perceptron,2,0.7250000000000001,Liver Disorder
5,ELM,2,0.7916666666666667,Liver Disorder
6,RBF,2,0.42499999999999993,Liver Disorder
7,ELMHebbian,2,0.6083333333333334,Liver Disorder
8,Perceptron,3,0.6333333333333333,Liver Disorder
9,ELM,3,0.7000000000000001,Liver Disorder
10,RBF,3,0.5083333333333333,Liver Disorder
11,ELMHebbian,3,0.6,Liver Disorder
12,Perceptron,4,0.625,Liver Disorder
13,ELM,4,0.625,Liver Disorder
14,RBF,4,0.5,Liver Disorder
15,ELMHebbian,4,0.6083333333333334,Liver Disorder
16,Perceptron,5,0.575,Liver Disorder
17,ELM,5,0.575,Liver Disorder
18,RBF,5,0.5666666666666667,Liver Disorder
19,ELMHebbian,5,0.5833333333333334,Liver Disorder
20,Perceptron,6,0.5714285714285714,Liver Disorder
21,ELM,6,0.7178571428571427,Liver Disorder
22,RBF,6,0.5321428571428571,Liver Disorder
23,ELMHebbian,6,0.49642857142857144,Liver Disorder
24,Perceptron,7,0.5928571428571427,Liver Disorder
25,ELM,7,0.6892857142857143,Liver Disorder
26,RBF,7,0.4857142857142857,Liver Disorder
27,ELMHebbian,7,0.6857142857142857,Liver Disorder
28,Perceptron,8,0.5357142857142857,Liver Disorder
29,ELM,8,0.7214285714285714,Liver Disorder
30,RBF,8,0.4857142857142857,Liver Disorder
31,ELMHebbian,8,0.5964285714285714,Liver Disorder
32,Perceptron,9,0.5285714285714286,Liver Disorder
33,ELM,9,0.6392857142857142,Liver Disorder
34,RBF,9,0.5,Liver Disorder
35,ELMHebbian,9,0.5857142857142856,Liver Disorder
36,Perceptron,10,0.6392857142857143,Liver Disorder
37,ELM,10,0.7535714285714286,Liver Disorder
38,RBF,10,0.5107142857142857,Liver Disorder
39,ELMHebbian,10,0.4642857142857143,Liver Disorder
40,Perceptron,1,0.46938775510204084,Climate Model Simluation
41,ELM,1,0.5,Climate Model Simluation
42,RBF,1,0.5,Climate Model Simluation
43,ELMHebbian,1,0.6244897959183674,Climate Model Simluation
44,Perceptron,2,0.689795918367347,Climate Model Simluation
45,ELM,2,0.5897959183673469,Climate Model Simluation
46,RBF,2,0.5,Climate Model Simluation
47,ELMHebbian,2,0.6857142857142857,Climate Model Simluation
48,Perceptron,3,0.7489795918367348,Climate Model Simluation
49,ELM,3,0.5,Climate Model Simluation
50,RBF,3,0.5,Climate Model Simluation
51,ELMHebbian,3,0.6857142857142857,Climate Model Simluation
52,Perceptron,4,0.4897959183673469,Climate Model Simluation
53,ELM,4,0.5,Climate Model Simluation
54,RBF,4,0.5,Climate Model Simluation
55,ELMHebbian,4,0.4040816326530612,Climate Model Simluation
56,Perceptron,5,0.5489795918367347,Climate Model Simluation
57,ELM,5,0.5,Climate Model Simluation
58,RBF,5,0.5,Climate Model Simluation
59,ELMHebbian,5,0.6653061224489797,Climate Model Simluation
60,Perceptron,6,0.6489795918367347,Climate Model Simluation
61,ELM,6,0.5,Climate Model Simluation
62,RBF,6,0.5,Climate Model Simluation
63,ELMHebbian,6,0.4244897959183674,Climate Model Simluation
64,Perceptron,7,0.72,Climate Model Simluation
65,ELM,7,0.5,Climate Model Simluation
66,RBF,7,0.5,Climate Model Simluation
67,ELMHebbian,7,0.77,Climate Model Simluation
68,Perceptron,8,0.595,Climate Model Simluation
69,ELM,8,0.5,Climate Model Simluation
70,RBF,8,0.5,Climate Model Simluation
71,ELMHebbian,8,0.605,Climate Model Simluation
72,Perceptron,9,0.74,Climate Model Simluation
73,ELM,9,0.5,Climate Model Simluation
74,RBF,9,0.5,Climate Model Simluation
75,ELMHebbian,9,0.78,Climate Model Simluation
76,Perceptron,10,0.73,Climate Model Simluation
77,ELM,10,0.5,Climate Model Simluation
78,RBF,10,0.5,Climate Model Simluation
79,ELMHebbian,10,0.73,Climate Model Simluation
80,Perceptron,1,0.725,Statlog (Heart)
81,ELM,1,0.7833333333333334,Statlog (Heart)
82,RBF,1,0.5416666666666666,Statlog (Heart)
83,ELMHebbian,1,0.7500000000000002,Statlog (Heart)
84,Perceptron,2,0.8833333333333334,Statlog (Heart)
85,ELM,2,0.7583333333333334,Statlog (Heart)
86,RBF,2,0.5,Statlog (Heart)
87,ELMHebbian,2,0.8083333333333333,Statlog (Heart)
88,Perceptron,3,0.8333333333333333,Statlog (Heart)
89,ELM,3,0.875,Statlog (Heart)
90,RBF,3,0.5416666666666666,Statlog (Heart)
91,ELMHebbian,3,0.7000000000000001,Statlog (Heart)
92,Perceptron,4,0.7166666666666668,Statlog (Heart)
93,ELM,4,0.8166666666666668,Statlog (Heart)
94,RBF,4,0.5,Statlog (Heart)
95,ELMHebbian,4,0.8166666666666668,Statlog (Heart)
96,Perceptron,5,0.625,Statlog (Heart)
97,ELM,5,0.7999999999999999,Statlog (Heart)
98,RBF,5,0.5,Statlog (Heart)
99,ELMHebbian,5,0.8083333333333333,Statlog (Heart)
100,Perceptron,6,0.8916666666666666,Statlog (Heart)
101,ELM,6,0.7999999999999999,Statlog (Heart)
102,RBF,6,0.5083333333333333,Statlog (Heart)
103,ELMHebbian,6,0.7666666666666666,Statlog (Heart)
104,Perceptron,7,0.6583333333333334,Statlog (Heart)
105,ELM,7,0.6916666666666668,Statlog (Heart)
106,RBF,7,0.5833333333333334,Statlog (Heart)
107,ELMHebbian,7,0.7666666666666666,Statlog (Heart)
108,Perceptron,8,0.8333333333333334,Statlog (Heart)
109,ELM,8,0.8583333333333333,Statlog (Heart)
110,RBF,8,0.5416666666666666,Statlog (Heart)
111,ELMHebbian,8,0.7416666666666667,Statlog (Heart)
112,Perceptron,9,0.9,Statlog (Heart)
113,ELM,9,0.8916666666666666,Statlog (Heart)
114,RBF,9,0.6333333333333333,Statlog (Heart)
115,ELMHebbian,9,0.7083333333333334,Statlog (Heart)
116,Perceptron,10,0.8083333333333333,Statlog (Heart)
117,ELM,10,0.7916666666666667,Statlog (Heart)
118,RBF,10,0.5416666666666666,Statlog (Heart)
119,ELMHebbian,10,0.6583333333333334,Statlog (Heart)
