,model_name,fold,score,dataset
0,Adaline,1,-0.022985836405644333,Airfoil Noise
1,ELM,1,0.7638814002732482,Airfoil Noise
2,RBF,1,0.018123508973970748,Airfoil Noise
3,Adaline,2,0.14650052275259395,Airfoil Noise
4,ELM,2,0.6791349615572144,Airfoil Noise
5,RBF,2,-0.15373226963801145,Airfoil Noise
6,Adaline,3,0.11837876975113026,Airfoil Noise
7,ELM,3,0.5114211673894629,Airfoil Noise
8,RBF,3,-0.0759443017294914,Airfoil Noise
9,Adaline,4,0.09820276758476787,Airfoil Noise
10,ELM,4,0.6816828384554507,Airfoil Noise
11,RBF,4,-0.27734959068738574,Airfoil Noise
12,Adaline,5,-0.07572361773114178,Airfoil Noise
13,ELM,5,0.6442469441544786,Airfoil Noise
14,RBF,5,0.07980417601397005,Airfoil Noise
15,Adaline,6,0.1915993773236485,Airfoil Noise
16,ELM,6,0.3698599752303223,Airfoil Noise
17,RBF,6,-0.4289624643395198,Airfoil Noise
18,Adaline,7,0.24178507361390122,Airfoil Noise
19,ELM,7,-0.05625284892738747,Airfoil Noise
20,RBF,7,-0.423828274724549,Airfoil Noise
21,Adaline,8,0.01114113984282783,Airfoil Noise
22,ELM,8,-0.13730751153818455,Airfoil Noise
23,RBF,8,-0.25495976586642644,Airfoil Noise
24,Adaline,9,0.19112667457330268,Airfoil Noise
25,ELM,9,0.32019528829419663,Airfoil Noise
26,RBF,9,-1.244330087185106,Airfoil Noise
27,Adaline,10,0.043935644669394036,Airfoil Noise
28,ELM,10,0.6589375031283629,Airfoil Noise
29,RBF,10,-0.01092107919132368,Airfoil Noise
30,Adaline,1,0.8956019261553809,Parkinsons
31,ELM,1,0.8215317036636502,Parkinsons
32,RBF,1,-1.40097256566657,Parkinsons
33,Adaline,2,0.9624748497205287,Parkinsons
34,ELM,2,0.9674338928737947,Parkinsons
35,RBF,2,-0.05974767949645954,Parkinsons
36,Adaline,3,0.964123886232223,Parkinsons
37,ELM,3,0.8641083041115389,Parkinsons
38,RBF,3,-0.04972096257496661,Parkinsons
39,Adaline,4,0.9407748572680951,Parkinsons
40,ELM,4,0.8446647309390765,Parkinsons
41,RBF,4,-0.015065021498073428,Parkinsons
42,Adaline,5,0.9365089218134259,Parkinsons
43,ELM,5,0.8071326117451822,Parkinsons
44,RBF,5,-0.287691727744775,Parkinsons
45,Adaline,6,0.9326735376218525,Parkinsons
46,ELM,6,0.9063724692412385,Parkinsons
47,RBF,6,-0.05330400778636313,Parkinsons
48,Adaline,7,0.8527667673185271,Parkinsons
49,ELM,7,0.7545246487971892,Parkinsons
50,RBF,7,-0.17533889607050646,Parkinsons
51,Adaline,8,0.7940679684144452,Parkinsons
52,ELM,8,0.8965054033549511,Parkinsons
53,RBF,8,-0.512291155689903,Parkinsons
54,Adaline,9,0.8186807681398245,Parkinsons
55,ELM,9,0.7699926633245925,Parkinsons
56,RBF,9,-0.010653447464725074,Parkinsons
57,Adaline,10,0.744482609732289,Parkinsons
58,ELM,10,0.6346118069167477,Parkinsons
59,RBF,10,-0.8527578329054128,Parkinsons
60,Adaline,1,0.7742557161269173,Boston Housing
61,ELM,1,0.679901625325593,Boston Housing
62,RBF,1,-0.1482564720249171,Boston Housing
63,Adaline,2,0.4899416469425336,Boston Housing
64,ELM,2,0.5613668470296553,Boston Housing
65,RBF,2,-0.047848333994422676,Boston Housing
66,Adaline,3,-0.4509500828094686,Boston Housing
67,ELM,3,-2.3462696923956825,Boston Housing
68,RBF,3,-4.328631692593728,Boston Housing
69,Adaline,4,0.588773931718625,Boston Housing
70,ELM,4,0.4778456743604824,Boston Housing
71,RBF,4,-0.7820204845139007,Boston Housing
72,Adaline,5,0.45886025895849436,Boston Housing
73,ELM,5,0.6424842621753095,Boston Housing
74,RBF,5,-0.3927455680450307,Boston Housing
75,Adaline,6,0.5908912929914922,Boston Housing
76,ELM,6,0.7066841551891574,Boston Housing
77,RBF,6,-1.0919443969417522,Boston Housing
78,Adaline,7,0.741235027185075,Boston Housing
79,ELM,7,0.33634434983430694,Boston Housing
80,RBF,7,-0.11859962687713477,Boston Housing
81,Adaline,8,-0.417245831770499,Boston Housing
82,ELM,8,-0.040733436625612685,Boston Housing
83,RBF,8,-0.14637656721747772,Boston Housing
84,Adaline,9,-3.519795762751036,Boston Housing
85,ELM,9,-1.4319192680013297,Boston Housing
86,RBF,9,-5.193659766908211,Boston Housing
87,Adaline,10,0.0814763634688015,Boston Housing
88,ELM,10,0.39416645206838186,Boston Housing
89,RBF,10,-1.1644644843631147,Boston Housing
