,score,score,score,score,score,score,score
model_name,ELM,GK-H,GK-P,GK-RBF,GK-SVM,MLPK-H,MLPK-P
dataset,,,,,,,
ILPD,"70.965 (69.762,72.252)","52.952 (49.158,56.939)","66.289 (62.877,69.565)","71.455 (70.986,71.924)","71.431 (70.905,71.956)","60.771 (55.492,66.030)","71.431 (70.905,71.956)"
appendicitis,"85.818 (81.091,90.364)","76.364 (66.725,86.002)","87.636 (81.907,93.000)","84.727 (78.545,90.916)","86.727 (81.000,92.455)","61.545 (49.452,75.275)","75.364 (71.273,80.364)"
australian,"85.942 (82.899,89.420)","86.087 (83.475,88.986)","87.601 (85.346,89.698)","86.087 (83.478,88.696)","85.797 (83.040,88.986)","85.185 (82.931,87.440)","83.913 (81.884,85.801)"
banknote,"97.959 (97.447,98.542)","91.761 (90.515,93.153)","91.908 (90.308,93.378)","99.781 (99.562,100.000)","100.000 (100.000,100.000)","100.000 (100.000,100.000)","100.000 (100.000,100.000)"
breastcancer,"96.482 (95.244,97.710)","92.093 (90.000,93.860)","94.531 (93.741,95.311)","91.208 (90.312,92.066)","98.823 (98.037,99.610)","96.878 (96.484,97.264)","96.313 (95.085,97.538)"
bupa,"70.454 (67.217,73.530)","50.143 (44.772,55.689)","60.654 (58.366,62.662)","61.102 (58.207,63.800)","70.807 (65.387,75.815)","55.958 (51.007,60.723)","57.096 (53.182,60.198)"
climate,"91.111 (90.556,91.852)","57.593 (54.815,60.000)","91.481 (90.926,92.037)","91.111 (90.370,91.852)","91.296 (90.741,91.667)","78.148 (70.546,87.407)","89.815 (88.519,91.296)"
fertility,"86.000 (83.000,89.000)","52.222 (43.306,60.000)","86.000 (83.000,89.000)","87.778 (85.556,91.111)","87.000 (84.000,90.000)","60.000 (49.975,69.025)","87.778 (85.556,90.000)"
glass,"96.255 (94.372,98.550)","86.845 (79.942,94.324)","97.078 (95.319,98.295)","97.684 (95.823,99.567)","96.255 (93.896,99.048)","95.303 (92.489,98.182)","96.255 (93.939,98.571)"
haberman,"76.237 (74.288,77.970)","53.591 (49.838,57.194)","74.691 (73.266,76.116)","72.226 (69.968,74.270)","72.559 (71.084,74.086)","52.570 (44.404,60.176)","72.538 (71.312,74.075)"
heart,"84.774 (83.539,86.008)","78.189 (74.486,82.305)","82.222 (78.889,85.926)","85.185 (82.593,88.148)","79.630 (77.037,82.602)","82.222 (78.519,85.935)","87.500 (84.259,90.278)"
ionosphere,"88.310 (85.976,90.905)","70.079 (66.159,74.730)","87.002 (83.827,90.511)","89.468 (85.508,93.429)","93.730 (91.175,96.587)","92.889 (90.635,95.175)","93.175 (90.635,95.714)"
pima,"76.422 (74.142,78.572)","67.439 (65.375,69.270)","72.517 (69.488,75.418)","75.909 (73.528,78.613)","77.740 (75.826,79.617)","75.518 (72.881,78.124)","76.767 (75.242,78.025)"
segmentation,"99.654 (99.481,99.827)","57.056 (54.935,59.048)","88.788 (87.834,89.610)","98.615 (98.139,99.091)","99.697 (99.481,99.913)","78.163 (75.612,80.423)","85.714 (85.714,85.714)"
sonar,"65.030 (60.833,70.000)","46.881 (37.429,57.143)","65.926 (56.717,75.238)","60.381 (50.066,71.168)","53.899 (51.845,56.280)","69.357 (61.022,77.054)","66.481 (58.726,73.894)"
