,score,score,score,score,score,score,score
model_name,ELM,GK-H,GK-P,GK-RBF,GK-SVM,MLPK-H,MLPK-P
dataset,,,,,,,
ILPD,70.965 ± 1.889,52.952 ± 6.197,66.289 ± 5.396,71.455 ± 0.783,71.431 ± 0.761,60.771 ± 8.558,71.431 ± 0.761
appendicitis,85.818 ± 7.705,76.364 ± 16.318,87.636 ± 8.835,84.727 ± 10.122,86.727 ± 9.801,61.545 ± 19.905,75.364 ± 7.867
australian,85.942 ± 5.064,86.087 ± 4.727,87.601 ± 3.491,86.087 ± 4.453,85.797 ± 4.798,85.185 ± 3.535,83.913 ± 3.270
banknote,97.959 ± 0.850,91.761 ± 2.124,91.908 ± 2.499,99.781 ± 0.334,100.000 ± 0.000,100.000 ± 0.000,100.000 ± 0.000
breastcancer,96.482 ± 1.931,92.093 ± 3.160,94.531 ± 1.292,91.208 ± 1.242,98.823 ± 1.184,96.878 ± 0.723,96.313 ± 1.990
bupa,70.454 ± 5.191,50.143 ± 8.406,60.654 ± 3.258,61.102 ± 4.445,70.807 ± 8.441,55.958 ± 7.824,57.096 ± 5.346
climate,91.111 ± 1.111,57.593 ± 4.095,91.481 ± 0.907,91.111 ± 1.111,91.296 ± 0.849,78.148 ± 13.952,89.815 ± 2.070
fertility,86.000 ± 4.899,52.222 ± 13.966,86.000 ± 4.899,87.778 ± 4.157,87.000 ± 4.583,60.000 ± 16.125,87.778 ± 4.157
glass,96.255 ± 3.490,86.845 ± 11.209,97.078 ± 2.265,97.684 ± 3.082,96.255 ± 4.089,95.303 ± 4.720,96.255 ± 3.490
haberman,76.237 ± 2.620,53.591 ± 5.800,74.691 ± 2.146,72.226 ± 3.560,72.559 ± 2.468,52.570 ± 12.887,72.538 ± 2.255
heart,84.774 ± 2.098,78.189 ± 5.906,82.222 ± 5.926,85.185 ± 4.382,79.630 ± 4.757,82.222 ± 5.926,87.500 ± 4.512
ionosphere,88.310 ± 4.149,70.079 ± 6.931,87.002 ± 4.715,89.468 ± 6.500,93.730 ± 4.202,92.889 ± 3.634,93.175 ± 4.046
pima,76.422 ± 3.591,67.439 ± 2.860,72.517 ± 4.860,75.909 ± 4.156,77.740 ± 2.887,75.518 ± 4.438,76.767 ± 1.870
segmentation,99.654 ± 0.260,57.056 ± 3.457,88.788 ± 1.455,98.615 ± 0.794,99.697 ± 0.338,78.163 ± 3.708,85.714 ± 0.000
sonar,65.030 ± 6.330,46.881 ± 15.892,65.926 ± 14.698,60.381 ± 17.003,53.899 ± 3.145,69.357 ± 13.203,66.481 ± 11.236
